Timestamp,Gender,Age (Years),Races,Faculty,Year Of Study,Relationship Status,With whom you are living with?,What is your monthly Family Income?,  Do you have meritorious scholarship ?  ,  Average attendance on class (Percentage )  ,Have you ever had to repeat any courses/subjects?,Did you ever got suspension?  ,Do you attend in teacher consultancy for any kind of academical problems?  ,What was your previous GPA?  ,What was your previous CGPA?  ,How many hour do you study daily? (Hours ),How many times do you seat for study in a day?  ,What is your preferable learning mode?  ,Do you use University transportation?  ,Do you use smart phone?  ,Do you have personal Computer?  ,How many hour do you spent daily in social media? (Hours)  ,Status of your English language proficiency  ,What are the skills do you have ?  ( example : Programming),How many hour do you spent daily on your skill development? (Hours )  ,What is you interested area?  ( example: Artificial Intelligence ),Are you engaged with any co-curriculum activities?  ,Do you have any health issues?  ,Do you have any physical disabilities?  
11/11/2025 16:14:09,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 2,Single,Friends,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,3 – 4 hours,3 times,Offline,No,Yes,Yes,4 - 5 hours,Advanced,programming,< 1 hours,database,No,No,No
11/11/2025 16:14:50,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM5001 - RM8,000",No,81% - 100%,Yes,Yes,Yes,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,3 times,Offline,No,Yes,Yes,> 6 hours,Intermediate,Cleaning,2 - 3 hours,Data Science,Yes,Yes,No
11/11/2025 16:15:05,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Friends,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.70 - 4.00,1 – 2 hours,2 times,Hybrid,No,Yes,Yes,> 6 hours,Basic,"little bit coding , math",2 - 3 hours,cloud,No,No,No
11/11/2025 16:17:25,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,In hostel,"RM5001 - RM8,000",No,61% - 80%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,< 1 times,Online,Yes,Yes,Yes,2 - 3 hours,Intermediate,programming,2 - 3 hours,AI,No,No,No
11/11/2025 16:17:42,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,5 – 6 hours,3 times,Offline,No,Yes,Yes,4 - 5 hours,Advanced,Programming,> 6 hours,Data Science,Yes,No,No
11/11/2025 16:18:23,Female,21 – 22 years,Malay,FAE (Faculty of Architecture and Ekistics),Year 3,In a relationship,Friends,"RM8,001 - RM12,000",Yes,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,> 5 times,Hybrid,No,Yes,Yes,> 6 hours,Advanced,"Iot, programming, cisco, first aider ",2 - 3 hours,Networking ,Yes,No,No
11/11/2025 16:22:16,Male,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Family,"> RM12,000",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,< 1 hour,< 1 times,Hybrid,No,Yes,Yes,4 - 5 hours,Intermediate,Memorizing,< 1 hours,Mobile device technology,No,Yes,No
11/11/2025 16:23:22,Male,21 – 22 years,Chinese,FBKT (Faculty of Bioengineering and Technology),Year 1,In a relationship,In hostel,"RM8,001 - RM12,000",Yes,81% - 100%,No,No,Yes,3.70 - 4.00,3.70 - 4.00,> 6 hours,> 5 times,Offline,Yes,Yes,Yes,> 6 hours,Advanced,Math,> 6 hours,Cooking,Yes,No,No
11/11/2025 16:25:35,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,In hostel,"RM5001 - RM8,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,3 – 4 hours,4 times,Hybrid,No,Yes,Yes,> 6 hours,Intermediate,Problem Solving,2 - 3 hours,Web Development,No,No,No
11/11/2025 16:25:40,Male,23 – 25 years,Malay,FPV (Faculty of Veterinary Medicine),Year 2,Married,Family,"> RM12,000",No,81% - 100%,No,No,Yes,3.70 - 4.00,3.70 - 4.00,5 – 6 hours,> 5 times,Online,Yes,Yes,Yes,> 6 hours,Intermediate,Photographe ,2 - 3 hours,Multimedia,Yes,No,No
11/11/2025 16:27:32,Male,23 – 25 years,Malay,"FHPK (Faculty of Hospitality, Tourism and Wellness)",Year 3,Single,Family,"RM3,001 - RM5,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,1 – 2 hours,2 times,Hybrid,No,Yes,Yes,< 1 hours,Intermediate,Cooking,> 6 hours,Music,No,No,No
11/11/2025 16:28:22,Female,26 – 28 years,Indian,FSB (Faculty of Earth Sciences),Year 4,Married,Alone,"RM3,001 - RM5,000",Yes,81% - 100%,Yes,Yes,Yes,3.00 – 3.69,3.00 – 3.69,> 6 hours,4 times,Hybrid,Yes,Yes,Yes,4 - 5 hours,Advanced,Farming,2 - 3 hours,Chemical Engineering ,Yes,No,No
11/11/2025 16:29:29,Male,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 3,Single,Alone,"RM 1,501 - RM3,000",No,81% - 100%,No,No,Yes,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,< 1 times,Offline,No,Yes,Yes,> 6 hours,Advanced,IOT,2 - 3 hours,Automation,No,No,No
11/11/2025 16:33:59,Female,23 – 25 years,Indian,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,5 – 6 hours,3 times,Hybrid,Yes,Yes,Yes,4 - 5 hours,Intermediate,Coding ,2 - 3 hours,Ai  ,Yes,No,No
11/11/2025 16:35:56,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Alone,"< RM1,500",Yes,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,1 – 2 hours,< 1 times,Hybrid,No,Yes,Yes,< 1 hours,Basic,Programming,< 1 hours,Data Science,Yes,No,No
11/11/2025 16:41:27,Female,21 – 22 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,2 times,Hybrid,No,Yes,Yes,> 6 hours,Intermediate,Programming,2 - 3 hours,Data Analyst,No,No,No
11/11/2025 16:50:28,Female,21 – 22 years,Malay,FKP (Faculty of Entrepreneurship and Business),Year 3,In a relationship,Family,"RM 1,501 - RM3,000",No,81% - 100%,No,No,No,3.70 - 4.00,3.70 - 4.00,1 – 2 hours,< 1 times,Hybrid,Yes,Yes,Yes,> 6 hours,Basic,Singing ,< 1 hours,Music and Performing Arts,Yes,No,No
11/11/2025 17:00:32,Female,23 – 25 years,Malay,FSDK (Faculty of Data Science and Computing),Year 4,Single,Family,"RM3,001 - RM5,000",No,81% - 100%,No,No,No,3.00 – 3.69,3.00 – 3.69,3 – 4 hours,2 times,Hybrid,No,Yes,Yes,> 6 hours,Intermediate,Sleeping ,> 6 hours,Data Science,No,No,No
